Area,Item,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
Algeria,"Milk, Total",1000 USD,1375608000.0,1258814000.0,1276891000.0,1228284000.0,1166975000.0,1144111000.0,1190289000.0
Algeria,Non Food,1000 USD,31538000.0,30859000.0,30934000.0,29360000.0,23905000.0,23454000.0,25182000.0
Algeria,Oilcrops Primary,1000 USD,255349000.0,319916000.0,316023000.0,365879000.0,233437000.0,260648000.0,320949000.0
Algeria,"Roots and Tubers, Total",1000 USD,1867915000.0,1756064000.0,1640418000.0,1261046000.0,1770382000.0,1454444000.0,1913022000.0
Algeria,Vegetables and Fruit Primary,1000 USD,12009511000.0,11588516000.0,12769939000.0,13048194000.0,12450194000.0,12770727000.0,15964287000.0
Algeria,Vegetables Primary,1000 USD,3525236000.0,3373323000.0,3526773000.0,3817788000.0,3611099000.0,3610169000.0,4439820000.0
Angola,Avocados,1000 USD,19881000.0,12640000.0,9035000.0,5740000.0,5311000.0,7489000.0,5506000.0
Angola,Bananas,1000 USD,893576000.0,692398000.0,525634000.0,367836000.0,374149000.0,592689000.0,487399000.0
Angola,"Beans, dry",1000 USD,291347000.0,210882000.0,143608000.0,96680000.0,88171000.0,127180000.0,84158000.0
Angola,Cabbages,1000 USD,77603000.0,54513000.0,38928000.0,26021000.0,21057000.0,29997000.0,20886000.0
Angola,Carrots and turnips,1000 USD,65468000.0,45266000.0,32221000.0,21497000.0,20679000.0,29716000.0,21100000.0
Angola,"Cassava, fresh",1000 USD,1113468000.0,974143000.0,699973000.0,475021000.0,451544000.0,667893000.0,415946000.0
Angola,"Coffee, green",1000 USD,7350000.0,4753000.0,3406000.0,2193000.0,1644000.0,3865000.0,3073000.0
Angola,Green garlic,1000 USD,,5443000.0,3331000.0,2161000.0,2018000.0,3281000.0,2154000.0
Angola,"Groundnuts, excluding shelled",1000 USD,111300000.0,75002000.0,51695000.0,34402000.0,31157000.0,43170000.0,29236000.0
Angola,Maize (corn),1000 USD,581887000.0,483707000.0,343761000.0,230433000.0,212252000.0,303786000.0,205794000.0
Angola,"Mangoes, guavas and mangosteens",1000 USD,191371000.0,126269000.0,91045000.0,60981000.0,59543000.0,84319000.0,59321000.0
Angola,Millet,1000 USD,8448000.0,6159000.0,4259000.0,2889000.0,1708000.0,2374000.0,1369000.0
Angola,"Other vegetables, fresh n.e.c.",1000 USD,55587000.0,42083000.0,28966000.0,18266000.0,16541000.0,22548000.0,13774000.0
Angola,Pineapples,1000 USD,305873000.0,191102000.0,147433000.0,108582000.0,109284000.0,171888000.0,108970000.0
Angola,Potatoes,1000 USD,122921000.0,87615000.0,60755000.0,40838000.0,38077000.0,54270000.0,35210000.0
Angola,Raw milk of cattle,1000 USD,67712000.0,44964000.0,31592000.0,20824000.0,19357000.0,27065000.0,18715000.0
Angola,Rice,1000 USD,2811000.0,2210000.0,1668000.0,1143000.0,1086000.0,1577000.0,3903000.0
Angola,Sorghum,1000 USD,6444000.0,5444000.0,3108000.0,2163000.0,1980000.0,2840000.0,1516000.0
Angola,Soya beans,1000 USD,22872000.0,15740000.0,11743000.0,7653000.0,6999000.0,9759000.0,7404000.0
Angola,Sweet potatoes,1000 USD,350164000.0,270591000.0,198215000.0,137771000.0,137214000.0,214828000.0,149191000.0
Angola,Tomatoes,1000 USD,106843000.0,62566000.0,46088000.0,31236000.0,27809000.0,40684000.0,37717000.0
Angola,Agriculture,1000 USD,4402925000.0,3413491000.0,2476464000.0,1694329000.0,1627580000.0,2441219000.0,1712343000.0
Angola,"Cereals, primary",1000 USD,599590000.0,497519000.0,352795000.0,236628000.0,217027000.0,310578000.0,212583000.0
Angola,Crops,1000 USD,4335214000.0,3368526000.0,2444871000.0,1673506000.0,1608223000.0,2414154000.0,1693628000.0
Angola,Food,1000 USD,4402925000.0,3413491000.0,2476464000.0,1694329000.0,1627580000.0,2441219000.0,1712343000.0
Angola,Fruit Primary,1000 USD,1410701000.0,1022409000.0,773147000.0,543139000.0,548288000.0,856385000.0,661196000.0
Angola,Livestock,1000 USD,67712000.0,44964000.0,31592000.0,20824000.0,19357000.0,27065000.0,18715000.0
Angola,"Milk, Total",1000 USD,67712000.0,44964000.0,31592000.0,20824000.0,19357000.0,27065000.0,18715000.0
Angola,Oilcrops Primary,1000 USD,134172000.0,90742000.0,63438000.0,42055000.0,38156000.0,52929000.0,36640000.0
Angola,"Roots and Tubers, Total",1000 USD,1586553000.0,1332349000.0,958943000.0,653630000.0,626835000.0,936992000.0,600347000.0
Angola,Vegetables and Fruit Primary,1000 USD,1716202000.0,1232281000.0,922682000.0,642320000.0,636391000.0,982611000.0,756827000.0
Angola,Vegetables Primary,1000 USD,305501000.0,209872000.0,149535000.0,99181000.0,88104000.0,126226000.0,95631000.0
Antigua and Barbuda,Bananas,1000 USD,355000.0,74000.0,41000.0,9000.0,21000.0,16000.0,10000.0
Antigua and Barbuda,Cabbages,1000 USD,195000.0,149000.0,85000.0,4000.0,62000.0,23000.0,30000.0
Antigua and Barbuda,Cantaloupes and other melons,1000 USD,1159000.0,689000.0,399000.0,92000.0,183000.0,86000.0,19000.0
Antigua and Barbuda,Carrots and turnips,1000 USD,20000.0,110000.0,112000.0,28000.0,17000.0,18000.0,16000.0
Antigua and Barbuda,"Cassava, fresh",1000 USD,164000.0,153000.0,147000.0,85000.0,115000.0,343000.0,187000.0
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1000 USD,302000.0,331000.0,359000.0,209000.0,674000.0,455000.0,287000.0
Antigua and Barbuda,Cucumbers and gherkins,1000 USD,138000.0,149000.0,164000.0,188000.0,162000.0,148000.0,392000.0
Antigua and Barbuda,Eggplants (aubergines),1000 USD,360000.0,245000.0,175000.0,78000.0,79000.0,95000.0,215000.0
Antigua and Barbuda,"Hen eggs in shell, fresh",1000 USD,1503000.0,2384000.0,2269000.0,2915000.0,2807000.0,6949000.0,3577000.0
Antigua and Barbuda,Lemons and limes,1000 USD,896000.0,956000.0,1020000.0,1001000.0,2284000.0,1600000.0,1397000.0
Antigua and Barbuda,Maize (corn),1000 USD,83000.0,62000.0,89000.0,81000.0,114000.0,170000.0,172000.0
Antigua and Barbuda,"Mangoes, guavas and mangosteens",1000 USD,2781000.0,2779000.0,2403000.0,2802000.0,3207000.0,2831000.0,5595000.0
